ColumnName,DataType
SUPPLIER_TYPE,nvarchar
SUPPLIER_DIVERSITY_CODE,nvarchar
SUPPLIER_DUNS_NUMBER,nvarchar
SUPPLIER_ORIGIN_COUNTRY,nvarchar
SUPPLIER_DUNS_SSI,nvarchar
SUPPLIER_DUNS_SER,nvarchar
SUPPLIER_DUNS_PAYDEX,nvarchar
SUPPLIER_DUNS_GLOBAL_ULTIMATE_COMPANY_NAME,nvarchar
SUPPLIER_DUNS_GLOBAL_ULTIMATE_COUNTRY,nvarchar
SUPPLIER_PREFERRED_STATUS,nvarchar
CUSTOMER_SUPPLIER_STATUS,nvarchar
GEP_DELTAFLAG,nvarchar
GEP_ENRICHFLAG,nvarchar
GEP_NEW_VENDOR_FLAG,nvarchar
GEP_NORM_SUPP_NUMBER,nvarchar
GEP_NORM_SUPP_NAME,nvarchar
GEP_ULT_PARENT,nvarchar
GEP_NORM_SUPP_CITY,nvarchar
GEP_NORM_SUPP_STATE,nvarchar
GEP_NORM_SUPP_COUNTRY,nvarchar
GEP_NORM_SUPP_SUB_REGION,nvarchar
GEP_NORM_SUPP_REGION,nvarchar
GEP_PREFERRED_SUPPLIER_STATUS,nvarchar
GEP_CUSTOMER_SUPPLIER_STATUS,nvarchar
GEP_AI_SUPPLIER_LOB,nvarchar
GEP_SUPPLIER_PAYMENT_TERM,nvarchar
GEP_SUPPLIER_NET_DAYS,float
GEP_SUPPLIER_DISCOUNT_PERCENTAGE,float
GEP_SUPPLIER_DISCOUNT_DAYS,float
PAYMENT_TERM_CODE,nvarchar
PAYMENT_TERM_DESCRIPTION,nvarchar
GEP_NORM_PAYMENT_TERM,nvarchar
GEP_NORM_NET_DAYS,float
GEP_NORM_DISCOUNT_PERCENTAGE,float
GEP_NORM_DISCOUNT_DAYS,float
GL_ACCOUNT_CODE,nvarchar
GL_ACCOUNT_NAME,nvarchar
GL_ACCOUNT_HIERARCHY_L1,nvarchar
GL_ACCOUNT_HIERARCHY_L2,nvarchar
CHART_OF_ACCOUNT_CODE,nvarchar
CHART_OF_ACCOUNT_NAME,nvarchar
COST_CENTER_CODE,nvarchar
COST_CENTER_DESCRIPTION,nvarchar
COST_CENTER_HIERARCHY_L1,nvarchar
COST_CENTER_HIERARCHY_L2,nvarchar
COST_CENTER_HIERARCHY_L3,nvarchar
COST_CENTER_HIERARCHY_L4,nvarchar
COST_CENTER_HIERARCHY_L5,nvarchar
CONTRACT_SOURCE_SYSTEM,nvarchar
CONTRACT_NUMBER,nvarchar
CONTRACT_LINE_NUMBER,nvarchar
CONTRACT_AMOUNT,float
CONTRACT_START_DATE,date
CONTRACT_END_DATE,date
CONTRACT_SUPPLIER_NUMBER,nvarchar
CONTRACT_SUPPLIER_NAME,nvarchar
CONTRACT_DESCRIPTION,nvarchar
CONTRACT_DESCRIPTION_2,nvarchar
CONTRACT_CATEGORY_CODE,nvarchar
CONTRACT_CATEGORY_1,nvarchar
CONTRACT_CATEGORY_2,nvarchar
CONTRACT_CATEGORY_3,nvarchar
CONTRACT_CATEGORY_4,nvarchar
CONTRACT_OWNER,nvarchar
CONTRACT_STATUS,nvarchar
CONTRACT_TYPE,nvarchar
CONTRACT_BUSINESS_UNIT,nvarchar
CONTRACT_COMPANY,nvarchar
CONTRACT_BU_COUNTRY,nvarchar
CONTRACT_BU_REGION,nvarchar
CONTRACT_RENEWAL_TYPE,nvarchar
CLIENT_CHILD_SUPPLIER,nvarchar
CLIENT_PARENT_SUPPLIER,nvarchar
CLIENT_CATEGORY_CODE,nvarchar
CLIENT_CATEGORY_1,nvarchar
CLIENT_CATEGORY_2,nvarchar
CLIENT_CATEGORY_3,nvarchar
CLIENT_CATEGORY_4,nvarchar
GEP_CATEGORY_KEY,nvarchar
GEP_CATEGORY_CODE,nvarchar
GEP_CATEGORY_LEVEL_1,nvarchar
GEP_CATEGORY_LEVEL_2,nvarchar
GEP_CATEGORY_LEVEL_3,nvarchar
GEP_CATEGORY_LEVEL_4,nvarchar
GEP_CATEGORY_LEVEL_5,nvarchar
GEP_CATEGORY_LEVEL_6,nvarchar
GEP_CATEGORY_LEVEL_7,nvarchar
GEP_CATEGORY_VERSION,nvarchar
GEP_PRODUCT_SERVICE_FLAG,nvarchar
GEP_DIRECT_INDIRECT_FLAG,nvarchar
GEP_SOURCING_CATEGORY,nvarchar
GEP_MRO_CAPITAL_FLAG,nvarchar
GEP_UNSPSC_KEY,nvarchar
GEP_UNSPSC_CODE,nvarchar
GEP_UNSPSC_L1_SEGMENT,nvarchar
GEP_UNSPSC_L2_FAMILY,nvarchar
GEP_UNSPSC_L3_CATEGORY,nvarchar
GEP_UNSPSC_L4_COMMODITY,nvarchar
GEP_UNSPSC_VERSION,nvarchar
GEP_UNSPSC_STATUS,nvarchar
PO_SOURCE_SYSTEM,nvarchar
PO_STATUS,nvarchar
PO_TYPE,nvarchar
PO_DOCUMENT_TYPE,nvarchar
PO_NUMBER,nvarchar
PO_LINE_NUMBER,nvarchar
PO_EXTRA_PO_KEY,nvarchar
PO_EXTRA_PO_LINE_KEY,nvarchar
PO_DOCUMENT_DATE,date
PO_COMPANY_CODE,nvarchar
PO_COMPANY_NAME,nvarchar
PO_LINE_AMOUNT_NORMALIZED,float
GEP_CATEGORY_MANAGER_LOCAL,nvarchar
PO_LINE_AMOUNT_CURRENCY,nvarchar
PO_OPEN_LINE_AMOUNT_NORMALIZED,float
PO_LINE_AMOUNT_LOCAL,float
PO_OPEN_LINE_AMOUNT_CURRENCY,nvarchar
PO_UNIT_PRICE_NORMALIZED,float
PO_OPEN_LINE_AMOUNT_LOCAL,float
PO_UNIT_PRICE_CURRENCY,nvarchar
PO_PAYMENT_TERM,nvarchar
GEP_NORM_PO_PAYMENT_TERM,nvarchar
PO_QUANTITY,float
PO_QUANTITY_NORMALIZED,float
PO_UOM,nvarchar
PO_UOM_NORMALIZED,nvarchar
PO_DESCRIPTION_1,nvarchar
PO_DESCRIPTION_2,nvarchar
PO_PLANT_CODE,nvarchar
PO_PLANT_NAME,nvarchar
PO_PLANT_ADDRESS,nvarchar
PO_PLANT_CITY,nvarchar
PO_PLANT_STATE,nvarchar
PO_PLANT_ZIP,nvarchar
PO_PLANT_COUNTRY,nvarchar
PO_PLANT_REGION,nvarchar
PO_PLANT_TYPE,nvarchar
PO_CATALOG_STATUS,nvarchar
PO_SUPPLIER_NUMBER,nvarchar
PO_SUPPLIER_NAME,nvarchar
PO_BUYER_CODE,nvarchar
PO_BUYER_NAME,nvarchar
PO_PURCHASING_GROUP_CODE,nvarchar
PO_PURCHASING_GROUP_NAME,nvarchar
PO_PURCHASING_GROUP_NAME_2,nvarchar
PO_PURCHASING_ORG_CODE,nvarchar
PO_PURCHASING_ORG_NAME,nvarchar
PO_CREATED_BY,nvarchar
PO_APPROVER,nvarchar
PO_GL_CODE,nvarchar
PO_GL_NAME,nvarchar
PO_COST_CENTER_CODE,nvarchar
PO_COST_CENTER_NAME,nvarchar
PO_LANGUAGE,nvarchar
PO_CATEGORY_CODE,nvarchar
PO_CATEGORY_1,nvarchar
PO_CATEGORY_2,nvarchar
PO_CATEGORY_3,nvarchar
PO_CATEGORY_4,nvarchar
ITEM_MATERIAL_NUMBER,nvarchar
ITEM_MATERIAL_REVISION_NUMBER,nvarchar
ITEM_MATERIAL_DESCRIPTION,nvarchar
ITEM_MATERIAL_GROUP_CODE,nvarchar
ITEM_MATERIAL_GROUP_DESCRIPTION,nvarchar
ITEM_MATERIAL_TYPE,nvarchar
ITEM_MANUFACTURER_NAME,nvarchar
ITEM_MANUFACTURER_PART_NUMBER,nvarchar
ITEM_SUPPLIER_PART_NUMBER,nvarchar
ITEM_MATERIAL_CATEGORY_CODE,nvarchar
ITEM_MATERIAL_CATEGORY_1,nvarchar
ITEM_MATERIAL_CATEGORY_2,nvarchar
ITEM_MATERIAL_CATEGORY_3,nvarchar
ITEM_MATERIAL_CATEGORY_4,nvarchar
ITEM_MATERIAL_NAME,nvarchar
ITEM_MATERIAL_STOCK_INDICATOR,nvarchar
ITEM_MATERIAL_CRITICALITY,nvarchar
ITEM_MATERIAL_LEAD_TIME,float
ITEM_MATERIAL_STANDARD_COST,float
ITEM_MATERIAL_STANDARD_COST_CURRENCY,nvarchar
ITEM_MATERIAL_STANDARD_UOM,nvarchar
ITEM_MATERIAL_STANDARD_COST_DATE,date
ITEM_MATERIAL_BOM_EQUIPMENT,nvarchar
ITEM_MATERIAL_ORIGIN_COUNTRY,nvarchar
SOURCESYSTEM_1,nvarchar
SOURCESYSTEM_2,nvarchar
SOURCESYSTEM_3,nvarchar
GEP_NORM_SOURCESYSTEM_1,nvarchar
GEP_NORM_SOURCESYSTEM_2,nvarchar
GEP_NORM_SOURCESYSTEM_3,nvarchar
PROFIT_CENTER_CODE,nvarchar
PROFIT_CENTER_NAME,nvarchar
PROFIT_CENTER_HIERARCHY_1,nvarchar
PROFIT_CENTER_HIERARCHY_2,nvarchar
PROFIT_CENTER_HIERARCHY_3,nvarchar
PROFIT_CENTER_HIERARCHY_4,nvarchar
PROFIT_CENTER_HIERARCHY_5,nvarchar
PROFIT_CENTER_HIERARCHY_6,nvarchar
INCOTERMS_CODE,nvarchar
INCOTERMS_DESCRIPTION,nvarchar
GEP_DIVERSITY_FLAG,nvarchar
GEP_DIVERSITY_TYPE,nvarchar
GEP_DIVERSITY_8A_CERTIFICATION_INDICATOR,nvarchar
GEP_DIVERSITY_AIRPORT_CONCESSION_DISADVANTAGED_BUSINESS_ENTERPRISE_INDICATOR,nvarchar
GEP_DIVERSITY_ALASKAN_NATIVE_CORPORATION_INDICATOR,nvarchar
GEP_DIVERSITY_CERTIFIED_SMALL_BUSINESS_INDICATOR,nvarchar
GEP_DIVERSITY_DISABLED_VETERAN_BUSINESS_ENTERPRISE_INDICATOR,nvarchar
GEP_DIVERSITY_DISABLED_OWNED_BUSINESS_INDICATOR,nvarchar
GEP_DIVERSITY_DISADVANTAGED_BUSINESS_ENTERPRISE_INDICATOR,nvarchar
GEP_DIVERSITY_DISADVANTAGED_VETERAN_ENTERPRISE_INDICATOR,nvarchar
GEP_DIVERSITY_HUB_ZONE_CERTIFIED_BUSINESS_INDICATOR,nvarchar
GEP_DIVERSITY_LABOR_SURPLUS_AREA_INDICATOR,nvarchar
GEP_DIVERSITY_MINORITY_BUSINESS_ENTERPRISE_INDICATOR,nvarchar
GEP_DIVERSITY_MINORITY_COLLEGE_INDICATOR,nvarchar
GEP_DIVERSITY_MINORITY_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_OUT_OF_BUSINESS_INDICATOR,nvarchar
GEP_DIVERSITY_POLITICAL_DISTRICT,nvarchar
GEP_DIVERSITY_SERVICE_DISABLED_VETERAN_OWNED_INDICATOR,nvarchar
GEP_DIVERSITY_SMALL_BUSINESS_INDICATOR,nvarchar
GEP_DIVERSITY_SMALL_DISADVANTAGED_BUSINESS_INDICATOR,nvarchar
GEP_DIVERSITY_VETERAN_BUSINESS_ENTERPRISE_INDICATOR,nvarchar
